SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEESEPT19,2019-09-14,2,5,1210,1210,Dutch Teddy,Dutch Teddy,,,,,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Hillaby,Hillaby,,,,,,,,,,"Warrendale Sales, Agent for Stonestreet Bred & Raised",,,,"Steven W. Young, Agent",,,,500000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1211,1211,Captain Beyond,Captain Beyond,,,,,DB/BR,F,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Holiday Soiree,Holiday Soiree,,,,,,,,,,"Woodford Thoroughbreds, Agent I ",,,,Grassroots Training & Sales,,,,85000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1212,1212,Mighty Who,Mighty Who,,,,,GR/RO,C,,Y,,,,Bodemeister,Bodemeister,Holy Bubbette,Holy Bubbette,,,,,,,,,,"Bluegrass Thoroughbred Services Inc., Agent XV ",,,,"R.N.A. (70,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1213,1213,Commandandcontrol,Commandandcontrol,,,,,B,F,,Y,,,,Quality Road,Quality Road,Hopeful Union,Hopeful Union,,,,,,,,,,"Trackside Farm (Tom Evans), Agent for Tenlane Farm ",,,,"Mike Ryan, Agent",,,,270000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1214,1214,American Bourbon,American Bourbon,,,,,B,F,,Y,,,,American Pharoah,American Pharoah,Hope Rules,Hope Rules,,,,,,,,,,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1215,1215,Fracing Fast,Fracing Fast,,,,,B,F,,Y,,,,Constitution,Constitution,Hot Roots,Hot Roots,,,,,,,,,,"Woodford Thoroughbreds, Agent I ",,,,Slam Dunk Racing,,,,360000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1216,1216,Harpoon Harry,Harpoon Harry,,,,,DB/BR,C,,Y,,,,Empire Maker,Empire Maker,Hot Summer,Hot Summer,,,,,,,,,,"Mill Ridge Sales, Agent ",,,,"Seminole Partners, LLC",,,,190000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1217,1217,Nayefah,Nayefah,,,,,DB/BR,F,,Y,,,,Super Saver,Super Saver,Ida Mae,Ida Mae,,,,,,,,,,"Taylor Made Sales Agency, Agent for Siena Farm LLC ",,,,"DCTM, Agent",,,,125000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1218,1218,But I Did,But I Did,,,,,DB/BR,C,,Y,,,,Violence,Violence,Ididntmeantoo,Ididntmeantoo,,,,,,,,,,"Stone Farm, Agent ",,,,Stone Farm,,,,50000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1219,1219,Genuine Kitten,Genuine Kitten,,,,,GR/RO,C,,Y,,,,Kitten's Joy,Kitten's Joy,Imforeal,Imforeal,,,,,,,,,,"Ballysax Bloodstock, Agent XL ",,,,Out,,,,0,,,,,T,
